respondent_id,age_group,gender,education,heard_term_gender_sensitization,gender_is_binary_or_nonbinary,received_gender_training,support_school_curriculum,support_workplace_training,sensitization_helps_relationships,stereotype_men_rational_women_emotional,stereotype_women_bad_drivers,view_okay_for_men_to_cry,stereotype_men_strong_women_weak,stereotype_women_better_housekeepers,stereotype_gentle_men_less_masculine,childcare_only_mother_responsibility,woman_home_man_provider_role,chores_divided_equally_if_both_work,support_equal_pay,support_gender_diversity_quotas,discrimination_observed_nearby,support_gender_neutral_language,encourage_girls_nontraditional_careers,man_should_have_final_say_home,woman_should_not_tolerate_violence,sexist_jokes_okay,sensitization_reduces_gbv
R0011,18-25,Female,Bachelor's degree,No,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Yes,No,Yes
R0012,18-25,Male,Master's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Disagree,Neutral,Agree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Maybe,Maybe,Maybe,Yes,Maybe
R0013,18-25,Male,Bachelor's degree,No,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Neutral,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,No,No,No,No,Maybe
R0014,26-35,Female,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",No,Yes,No,Maybe,Yes,No,No,No,Yes
R0015,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,No,Yes,Maybe
R0016,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Agree,Agree,Disagree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
R0017,26-35,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
R0018,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Agree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,No,Yes,Yes,Maybe
R0019,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,No
R0020,18-25,Male,Master's degree,Yes,Binary,Yes,"Yes, definitely","No, not required",Yes,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0021,26-35,Female,Bachelor's degree,Yes,Binary,No,"No, not required","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Disagree,Disagree,No,Yes,"No, the woman should manage both",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
R0022,18-25,Female,Master's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,No,No,Maybe
R0023,26-35,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0024,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Agree,Agree,Agree,Yes,Yes,"Yes, definitely",Yes,Unsure,Yes,Maybe,Yes,Maybe,No,Yes,Yes
R0025,18-25,Male,Bachelor's degree,Yes,Unsure,No,Maybe,"Yes, definitely",Yes,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
R0026,18-25,Female,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",No,No,No,Yes,Maybe,No,No,No,Maybe
R0027,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Agree,Disagree,Agree,Agree,No,Yes,"Yes, definitely",Yes,Unsure,No,Yes,No,Maybe,No,No,Yes
R0028,18-25,Female,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,No,No,No,Maybe,No
R0029,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Agree,Neutral,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Unsure,No,Yes,No,Yes,No,No
R0030,18-25,Male,Master's degree,No,Binary,No,"Yes, definitely","No, not required",Yes,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0031,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,No,Yes,"Yes, definitely",Yes,Unsure,Unsure,Yes,Yes,No,Yes,No,No
R0032,18-25,Male,Master's degree,Yes,Non-binary,No,Maybe,Maybe,Maybe,Agree,Disagree,Agree,Disagree,Neutral,Agree,Yes,No,"Yes, definitely",No,No,Yes,Yes,Yes,Maybe,No,No,Maybe
R0033,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely",Maybe,Yes,Agree,Neutral,Agree,Disagree,Neutral,Agree,No,Yes,"Yes, definitely",Yes,No,Unsure,Yes,Yes,No,No,No,No
R0034,18-25,Male,Master's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0035,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Disagree,Agree,Yes,No,"No, the woman should manage both",Yes,Unsure,No,Yes,Yes,No,Yes,No,Yes
R0036,26-35,Male,Bachelor's degree,No,Unsure,No,"No, not required","No, not required",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",No,Yes,Yes,Yes,Maybe,No,Yes,No,Yes
R0037,26-35,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Disagree,Neutral,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,No,No,No,No,Maybe
R0038,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,Maybe,No,No,Maybe
R0039,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Maybe,No,Yes,Yes,Yes
R0040,26-35,Male,High school or equivalent,Yes,Non-binary,No,"Yes, definitely","No, not required",Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Maybe,No,Yes,No,Yes
R0041,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
R0042,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Neutral,No,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,Yes,No,No,Yes
R0043,18-25,Female,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
R0044,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,No,"Yes, definitely",Yes,No,No,Yes,Maybe,No,No,Yes,Maybe
R0045,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,Yes,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
R0046,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0047,18-25,Male,High school or equivalent,No,Binary,No,Maybe,"Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Yes,No,No,Yes
R0048,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,No,No,Yes
R0049,18-25,Female,Bachelor's degree,No,Unsure,No,Maybe,"Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes
R0050,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely",Maybe,Yes,Disagree,Disagree,Agree,Agree,Disagree,Agree,No,No,"Yes, definitely",Yes,No,Yes,Maybe,Yes,Maybe,Maybe,No,Yes
R0051,18-25,Male,Master's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Maybe,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,No,No,No,Yes
R0052,18-25,Female,High school or equivalent,No,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,No,Yes,Yes,Yes,No,No,No,Maybe
R0053,18-25,Male,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Yes,No,"Yes, definitely",No,Yes,Yes,Yes,Yes,Maybe,No,No,Maybe
R0054,18-25,Male,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes
R0055,18-25,Female,Bachelor's degree,No,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0056,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","No, not required",Yes,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Yes,Yes,No,No,No,Yes
R0057,26-35,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,No,"No, the woman should manage both",Yes,Unsure,Yes,Yes,Maybe,No,Yes,No,Yes
R0058,18-25,Female,Bachelor's degree,Yes,Binary,No,Maybe,Maybe,Yes,Neutral,Disagree,Agree,Disagree,Agree,Agree,Yes,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,No,Maybe,No
R0059,18-25,Male,Master's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Agree,Neutral,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes
R0060,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","No, not required",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,No,No,Maybe
R0061,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0062,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Agree,Disagree,Disagree,Neutral,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
R0063,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0064,18-25,Male,Bachelor's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
R0065,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",No,Agree,Agree,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0066,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Neutral,Agree,Agree,Yes,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,Yes,No,Maybe,Maybe
R0067,18-25,Female,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Disagree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
R0068,18-25,Female,Master's degree,No,Non-binary,No,"No, not required","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Disagree,Neutral,No,Yes,"Yes, definitely",Yes,Unsure,Unsure,Yes,Yes,Maybe,Maybe,Yes,Maybe
R0069,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",No,Neutral,Disagree,Agree,Agree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Maybe,Maybe,Yes,No,Yes
R0070,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,No,Agree,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,Unsure,No,Yes,Yes,Maybe,No,No,Yes
R0071,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0072,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,Yes,"Yes, definitely",No,Unsure,Yes,No,Yes,No,Yes,No,Maybe
R0073,18-25,Female,Master's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
R0074,18-25,Female,Bachelor's degree,No,Non-binary,No,Maybe,"Yes, definitely",Yes,Agree,Agree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
R0075,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","No, not required",Maybe,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Maybe,No,No,Maybe
R0076,18-25,Female,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Maybe,Neutral,Agree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Yes,Maybe,No,Maybe,No,Maybe
R0077,18-25,Female,Master's degree,Yes,Binary,No,"Yes, definitely","No, not required",Yes,Disagree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"No, the woman should manage both",Yes,Unsure,Unsure,Yes,Yes,No,No,No,Yes
R0078,18-25,Female,Bachelor's degree,Yes,Binary,Yes,Maybe,"Yes, definitely",Yes,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,Yes,Maybe
R0079,18-25,Female,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Unsure,Yes,Maybe,Yes,Yes,Yes,No,Yes
R0080,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Maybe
R0081,18-25,Male,High school or equivalent,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Neutral,Agree,Agree,Neutral,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
R0082,18-25,Female,Master's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Disagree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,No,No,Yes,No
R0083,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Maybe
R0084,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,No,No,Yes,Maybe
R0085,18-25,Female,Bachelor's degree,No,Binary,No,"No, not required","No, not required",Yes,Disagree,Disagree,Agree,Agree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,No,No,Yes,No,Yes
R0086,18-25,Female,Master's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,Yes,No,Yes
R0087,18-25,Female,Master's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,No,Maybe,Yes
R0088,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0089,18-25,Female,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely",Maybe,Yes,Agree,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
R0090,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Maybe
R0091,18-25,Male,Bachelor's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,No,Yes,Yes,No,Yes,No,Maybe
R0092,18-25,Male,Bachelor's degree,Yes,Unsure,No,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,No
R0093,18-25,Male,Master's degree,No,Non-binary,Yes,"No, not required",Maybe,Maybe,Neutral,Neutral,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
R0094,26-35,Male,Bachelor's degree,No,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0095,18-25,Female,Bachelor's degree,No,Non-binary,Yes,"No, not required","Yes, definitely",Yes,Agree,Disagree,Agree,Neutral,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0096,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,No,No,No,Yes
R0097,18-25,Male,Bachelor's degree,No,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,No,Yes,No,Yes
R0098,26-35,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","No, not required",No,Neutral,Agree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
R0099,18-25,Male,High school or equivalent,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,No
R0100,18-25,Male,Bachelor's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0101,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,Maybe,"Yes, definitely",Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,No,No,"Yes, definitely",Yes,No,Yes,Yes,Yes,No,Yes,No,Maybe
R0102,26-35,Female,High school or equivalent,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Yes,Yes,No,No,Yes,Maybe
R0103,Less than 18,Female,Bachelor's degree,No,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Agree,Neutral,Disagree,No,No,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0104,18-25,Male,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Agree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
R0105,18-25,Female,High school or equivalent,Yes,Binary,No,"Yes, definitely","Yes, definitely",No,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Unsure,Yes,Maybe,Yes,No,No,No,Yes
R0106,18-25,Female,High school or equivalent,No,Non-binary,Yes,Maybe,Maybe,Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0107,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Maybe,No,No
